10,35.45,35.41
20,42.72,44.61
30,43.59,43.33
40,42.90,45.00
50,48.31,48.00
60,48.59,47.44
70,45.50,47.80
80,48.46,48.17
90,50.17,48.55
100,49.23,51.92
110,49.93,48.87
120,51.30,50.13
130,52.21,50.15
140,50.09,49.29
150,48.84,49.70
160,50.49,50.33
170,51.68,47.83
180,51.46,49.51
190,52.86,49.49
200,51.89,51.17
210,51.08,50.18
220,51.77,49.61
230,51.90,50.46
240,51.91,50.07
250,52.59,50.28
260,53.41,51.38
270,52.84,50.80
280,53.25,50.81
290,53.17,51.33
300,52.81,51.45
310,52.74,51.45
320,52.94,50.85
330,53.86,51.64
340,53.78,52.14
350,54.59,51.91
360,53.99,51.36
370,54.12,52.76
380,54.69,52.74
390,54.43,52.42
400,53.58,53.30
410,54.23,52.65
420,54.11,52.85
430,53.79,52.59
440,55.03,52.44
450,54.91,52.54
460,54.58,52.27
470,53.83,52.43
480,54.35,52.83
490,54.06,52.27
500,55.05,52.99
510,54.76,53.50
520,55.00,53.88
530,55.39,53.14
540,55.13,53.36
550,55.68,53.88
560,55.74,53.54
570,55.44,53.58
580,56.15,53.89
590,56.05,53.63
600,54.96,53.16
610,55.34,53.71
620,55.67,54.00
630,55.93,53.71
640,56.90,53.55
650,55.54,53.64
660,55.91,53.72
670,56.07,54.88
680,56.23,53.78
690,55.43,54.10
700,55.67,53.62
710,56.26,53.88
720,56.22,54.05
730,55.88,54.38
740,55.93,54.53
750,56.81,54.86
760,56.27,53.87
770,57.43,54.59
780,56.77,54.78
790,57.08,54.92
800,56.87,54.36
810,57.33,54.79
820,56.62,55.21
830,56.79,54.94
840,57.16,54.96
850,57.05,55.06
860,57.27,55.51
870,58.10,55.04
880,57.03,54.91
890,57.69,55.70
900,58.23,55.52
910,57.85,56.12
920,57.95,55.04
930,57.12,55.44
940,57.87,55.99
950,57.70,55.30
960,57.60,55.93
970,58.11,56.18
980,57.81,55.70
990,57.47,55.86
1000,58.59,55.84
